"Date","Country","City","Specie","count","min","max","median","variance"
"2015-06-21","VN","Huế","so2",24,0.1,74.4,0.7,2249
"2015-03-05","VN","Huế","so2",23,0.1,0.1,0.1,0
"2015-03-24","VN","Huế","so2",9,0.1,0.6,0.1,0.4
"2015-06-09","VN","Huế","so2",15,0.1,2.3,1.6,5.61
"2015-06-10","VN","Huế","so2",24,0.1,73.7,0.5,2234.55
"2015-07-04","VN","Huế","so2",24,0.1,74.1,1,2235.31
"2015-01-03","VN","Huế","so2",24,0.1,65.7,0.1,1782.58
"2015-01-29","VN","Huế","so2",24,1,66.8,2.8,1724.36
"2015-01-30","VN","Huế","so2",24,1.1,62.1,2.7,1472.38
"2015-06-14","VN","Huế","so2",24,0.1,74,0.3,2257.01
"2015-07-05","VN","Huế","so2",24,0.1,74.2,0.5,2252.64
"2015-01-04","VN","Huế","so2",24,0.1,65.6,0.1,1787.14
"2015-02-19","VN","Huế","so2",24,0.1,67.6,0.8,1863.58
"2015-04-04","VN","Huế","so2",24,0.1,70.8,0.2,2065.27
"2015-04-16","VN","Huế","so2",24,0.1,71.5,0.1,2121.99
"2015-06-06","VN","Huế","so2",12,0.1,0.8,0.1,0.86
"2015-06-24","VN","Huế","so2",24,0.1,63.1,0.1,1641.29
"2015-02-09","VN","Huế","so2",24,1.4,67.7,2.1,1787.39
"2015-02-12","VN","Huế","so2",24,0.2,67.4,1.2,1832.16
"2015-03-01","VN","Huế","so2",24,0.1,1.4,0.1,1.41
"2015-03-29","VN","Huế","so2",22,0.1,70.6,0.1,2253.35
"2015-04-10","VN","Huế","so2",24,0.1,71.1,0.7,2070.55
"2015-06-26","VN","Huế","so2",24,0.1,74.1,0.1,2280.36
"2015-02-01","VN","Huế","so2",24,0.8,65.7,2.2,1747.44
"2015-03-07","VN","Huế","so2",24,0.5,2.6,1.4,2.5
"2015-04-06","VN","Huế","so2",22,0.1,70.8,0.1,2270.53
"2015-06-30","VN","Huế","so2",24,0.1,74.1,0.1,2274.27
"2015-01-21","VN","Huế","so2",24,0.1,66.4,1.1,1781.25
"2015-02-27","VN","Huế","so2",24,0.1,1.8,0.2,3.78
"2015-03-02","VN","Huế","so2",24,0.1,216.2,0.1,88349.1
"2015-03-10","VN","Huế","so2",24,0.1,5.7,0.8,34.13
"2015-03-14","VN","Huế","so2",24,0.4,69.3,0.8,1952.46
"2015-06-04","VN","Huế","so2",24,0.1,73.5,0.1,2244.04
"2015-02-22","VN","Huế","so2",24,0.1,67.6,0.9,1854.82
"2015-03-28","VN","Huế","so2",24,0.1,70.5,0.8,2016.78
"2015-04-03","VN","Huế","so2",24,0.1,70.3,0.2,2014.75
"2015-06-05","VN","Huế","so2",19,0.1,74.3,0.3,2866.67
"2014-12-29","VN","Huế","so2",9,0.1,1,0.1,1.02
"2015-01-25","VN","Huế","so2",24,0.1,66,0.2,1782.62
"2015-02-02","VN","Huế","so2",24,0.8,67.3,2,1788.63
"2015-02-20","VN","Huế","so2",24,0.1,68,0.5,1895.61
"2015-05-11","VN","Huế","so2",24,0.1,72.7,0.3,2159.13
"2015-06-12","VN","Huế","so2",24,0.1,73.8,0.2,2249.76
"2015-05-09","VN","Huế","so2",23,0.1,72.6,1.3,2234.94
"2015-05-10","VN","Huế","so2",17,0.1,4.2,1.7,14.18
"2015-01-17","VN","Huế","so2",24,0.2,66.3,1.3,1758.86
"2015-01-24","VN","Huế","so2",24,0.8,67.1,1.5,1775.59
"2015-01-26","VN","Huế","so2",20,0.1,65.9,1.4,2094.15
"2015-02-07","VN","Huế","so2",24,0.1,67.5,0.6,1867.43
